oba	melko	Adv	Pcle
sávahahtti	toivottu	A	N
jáhkehahtti	luultavasti	A	Adv
gánnáhahtti	kannattava	A	A
mearkkašahtti	merkityksellinen	A	A
lagabui	lähempi	Adv	A
guvlui	suhteen	Po	Po
ovddosguvlui	eteenpäin	Adv	Adv
ektui	ehdolla	Po	Po
válgabeaivi	vaalipäivä	N	N
árgabeaivi	arkipäivä	N	N
leavgabeaivi	liputuspäivä	N	N
riikkasearvi	maanjärjestö	N	N
davvi	pohjoinen	N	A& N
skovvi	lomake	N	N
sadjái	sijaan	Po	Po
rádjái	asti	Po	Po
dađi	sitä	Adv	Adv
ráđđi	neuvo& neuvosto	N	N
giellaráđđi	kielineuvosto	N	N
stáhtaráđđi	ministeri	N	N
dutkanráđđi	tutkimusneuvosto	N	N
girkoráđđi	kirkkoneuvosto	N	N
kulturráđđi	kulttuurineuvosto	N	N
ovttasráđđi	yhteisneuvo	N	N
oahpahusráđđi	opetusneuvosto	N	N
eamiálbmotášši	alkuperäiskansa-asia	N	N
álgoálbmotášši	alkuperäiskansa-asia	N	N
dal	nyt	Adv	Pcle
artihkal	artikkeli	N	N
gaskal	keskellä	Adv	Adv
kapihtal	kappale	N	N
sámegiel	saamenkielinen	A	A
vuollel	alla	Po	Po
váldoulbmil	päämäärä	N	N
kulturulbmil	kulttuuritavoite	N	N
ovttaoaivil	yhteinen kanta	N	N
maŋŋil	jälkeen	Po	Po
vuođul	perusteella	Po	Po
forum	foorumi	N	N
ohcan	hakemus	N	N
gulaskuddan	kuulustelu	N	N
rievdan	muutos	N	N
dálkkádatrievdan	ilmastomuutos	N	N
ovdan	eteen	Adv	Adv& Po
lágan	sellainen	A	A
earalágan	erilainen	Adv	A
sierralágan	erilainen	A	A
ovttalágan	samanlainen	A	A
earálágan	erilainen	A	A
lohkan	lukeminen	N	N
gaskan	puolivalmis	N	N
iskan	koe	N	N
dutkan	tutkinto, tutkimus	N	N
bagadallan	ohjaus	N	N
