lihkkolohku	lykketall	onnenluku
vuordináigi	ventetid	
teáhterjoavku	teáhterjoavku	
ruoššabealle	russisk_side	
oljofitnodat	oljeselskap	
musihkkavideo	musihkkavideo	
lávlunjoavku	kor	
kapasitehta	kapasitet	
hivvodat	mengde	
heargevuodjinlihttu	heargevuodjinlihttu	
báhčinsearvi	báhčinsearvi	
viežžan	viežžan	
valáštallanvisti	idrettshall	
sámekonferánsa	sámekonferánsa	
sihkkelasti	sihkkelasti	
ruhtavuoitu	pengepremie	
miellaláhki	miellaláhki	
lihkastat	bevegelse	
heaibunsearvi	heaibunsearvi	
dieđihanáigemearri	påmeldingsfrist	
boazomearka	reinmerke	
Skuohtanjárga	Skuohtanjárga	
varraiskkus	blodprøve	
oahpahalli	oahpahalli	
meavrresgárri	runebomme	
generála	generála	
ealáhusráđđi	næringsråd	
ealáhusovdáneapmi	næringsutvikling	
dárkkisteaddji	dárkkisteaddji	
centimehter	centimeter	
buvttadandoarjja	produksjonsstøtte	
válgaprográmma	valgprogram	
váldostivra	hovedstyre	
vuoiŋŋalašvuohta	åndelighet	
stággobivdi	stággobivdi	
spábbačiekčangilvu	fotballkamp	
ruoŧabealle	svensk_side	
rohcošanášši	rohcošanášši	
riddoguolástanlávdegoddi	riddoguolástanlávdegoddi	
prošeaktabargi	prošeaktabargi	
oaiviliskkadeapmi	oaiviliskkadeapmi	
juhkki	drikkfeldig	
juhkanvuohta	drukkenskap	
hávdádeapmi	begravelse	
gilvoheargi	gilvoheargi	
eanadoalloministtar	landbruksminister	
dutkkus	eksamen	
duodješiehtadus	duodješiehtadus	
bivdovuohki	fangstmetode	
Sálašvággi	Tromsdalen	
vuođđooahppu	grunnutdanning	
vearromáksi	vearromáksi	
sihkkelastin	sihkkelastin	
luoitin	beregning	
gávnnus	gávnnus	
givrodat	styrke	
gielddariekti	herredsrett	
finánsalávdegoddi	finansutvalg	
ealáhuseallin	ealáhuseallin	
astu	fritid	
Sámeálbmotfoanda	Sámeálbmotfoanda	
Skáidi	Skáidi	
čállingiella	skriftspråk	
váldofága	hovedfag	
skuvlafálaldat	skoletilbud	
riska	risiko	
manager	manager	
lihkadeapmi	motorikk	
lassigollu	merutgift	
gižžu	gižžu	
giliolmmoš	giliolmmoš	
geassebargu	sommerjobb	
duoldi	duoldi	
doaibmanjuolggadus	doaibmanjuolggadus	
boazodoallodieđáhus	boazodoallodieđáhus	
boarrásiidsiida	aldershjem	
Cohkolat	Cohkolat	
ávži	trang_dal	
stáhtaadvokáhta	statsadvokat	
páhppa	prest	
nuoraidsearvi	ungdomsforbund	
láttán	finlender	
logahat	gymnas	
kulturossodat	kulturetaten	
doaibmaguovddáš	aktivitetssenter	
Njeareveadji	Nervei	
Niitoguolbba	Niitoguolbba	
šiehtadallanjoavku	forhandlingsgruppe	
ávžu	ávžu	
vuolláičála	signatur	
vašši	hat	
universitehtabuohcciviessu	universitehtabuohcciviessu	
ruhtaveahkki	økonomisk_hjelp	
máđii	vei	
medisiidna	medisiidna	
mediafálaldat	mediatilbud	
lávvordateahket	lørdagskveld	
filosofiija	filosofi	
filbmafoanda	filmfond	
dálvemárkan	dálvemárkan	
buhtadusortnet	buhtadusortnet	
boraspirevahát	rovdyrskade	
bargobádji	bargobádji	
bahádahkki	bahádahkki	
álgoálbmotguovlu	urbefolkningsområde	
viidna	vin	
turistaealáhus	turistnæring	
skuvlaválga	skolevalg	
lávke	lávke	
lagasvuohta	nærhet	
jazz	jazz	
giđđadulvi	giđđadulvi	
gierdevašvuohta	tålmodighet	
giellapolitihkka	språkpolitikk	
camping	camping	
buolašgráda	kuldegrad	
šamána	sjaman	
sávzaboanda	sauebonde	
sáhkkiivuohta	sáhkkiivuohta	
suodji	ly	
rockejoavku	rockegruppe	
ođđadárogiella	nynorsk	
oasussearvi	andelslag	
mohtorsihkkel	motorsykkel	
meahccevuodjin	meahccevuodjin	
hállan	bøy	
háhkan	erverv	
giellageavaheapmi	språkbruk	
fuolahus	fuolahus	
beanaeaiggát	hundeeier	
beallefinála	beallefinála	
bargohárjáneapmi	arbeidserfaring	
Stuornjárga	Stuornjárga	
Ohcejotnjálbmi	Ohcejotnjálbmi	
vuohttát	vuohttát	
ruhtaseahkka	pengesekk	
orohatovdaolmmoš	orohatovdaolmmoš	
oalli	djupål	
háhkka	kanon	
humor	humor	
gufihtar	hulder	
bohcci	rør	
vieljažat	søsken	
sámegieloahppu	samiskopplæring	
