lihkkolohku	lykketall	onnenluku
sosiálahoavda	sosialsjef	
skuvlen	skolering	
riektesihkarvuohta	rettssikkerhet	
olmmáivuohta	olmmáivuohta	
doaibmahehttejuvvon	doaibmahehttejuvvon	
cuvccas	sagn	
buollinhoavda	buollinhoavda	
Gárggoluoppal	Gárggoluoppal	
turistabivdu	turistabivdu	
sámegielmáhttu	samiskkunnskap	
reaškkas	latter	
ovttasbargi	ovttasbargi	
giittus	takk	
doarru	doarru	
boazodoalloášši	boazodoalloášši	
amanueansa	amanueansa	
válgalistu	valgliste	
vákšot	vákšot	
suohkanválga	kommunevalg	
sisbandy	innebandy	
rájusgiddagas	varetektsfengsling	
rockár	rockár	
orohatjuohkin	reinbeitedistriktsinndeling	
mánotbadji	måned	
máinnus	reklame	
jietnagirji	lydbok	
guollenálli	guollenálli	
goahkka	kokk	
eaŋkilolmmoš	enkeltmenneske	
eallát	eallát	
e-mail	e-mail	
dokumentárafilbma	dokumentárafilbma	
bivdoearri	jaktkvote	
Stuorajávri	Stuorajávri	
Dálošvággi	Olderdalen	
Bokcá	Bokcá	
vuođđokursa	grunnkurs	
viinna	viinna	
valáštallansuorgi	idrettsgrein	
sávzadoalli	sávzadoalli	
sámeservodat	samisk_samfunn	
sámenieida	sámenieida	
skuvlavisti	skolebygning	
rigearra	rigearra	
religiovdna	religion	
fantasiija	fantasi	
bivdolohpi	bivdolohpi	
bessen	bessen	
vástideaddji	vástideaddji	
tienas	fortjeneste	
rohkosviessu	bedehus	
plánenbargu	plánenbargu	
kronihkka	kronikk	
guovda	våt_grasslette_i_skogen	
golfa	golfa	
falástallan	falástallan	
dáiddakonserváhtor	dáiddakonserváhtor	
čohkka	topp	
čoagganeapmi	čoagganeapmi	
várá	várá	
skuvlaoahppi	skuvlaoahppi	
senior	senior	
passiiva	passiv	
juoiganopera	juoiganopera	
gulaskuddancealkámuš	gulaskuddancealkámuš	
gollegiella	gollegiella	
ealáhuslávdegoddi	næringsutvalg	
doarjjakonsearta	støttekonsert	
buvttadus	produksjon	
arvevuovdi	regnskog	
Márjjábeaivi	Márjjábeaivi	
Gámas	Gámas	
šiehtadalli	šiehtadalli	
vuostáiváldin	resepsjon	
vuorkádávvir	vuorkádávvir	
virgekoda	stilingskode	
sáddenáigi	sendetid	
ránnjáriika	ránnjáriika	
reserváhtta	reservat	
pop	pop	
penšuvdna	pensjon	
okci	okci	
oahpposuorgi	oahpposuorgi	
monologa	monolog	
ministeriija	ministeri	
luossadihkki	luossadihkki	
littar	littar	
heahtetelefovdna	nødtelefon	
heahteguovddáš	heahteguovddáš	
haddegoargŋun	haddegoargŋun	
gáđašvuohta	misunnelse	
faláštallan	idrett	
dutkanásahus	forskningsinstitusjon	
dollasadji	dollasadji	
biergohaddi	kjøttpris	
bargonákca	bargonákca	
TV-sátta	TV-sátta	
NM-gilvu	NM-gilvu	
Lassi	Lassi	
viessoeaiggát	huseier	
sorbmi	noe_livsfarlig	
ovttaseallin	samliv	
olmmošgoddin	olmmošgoddin	
oadjoetáhtta	trygdeetat	
jávohisvuohta	taushet	
girkobeaivi	girkobeaivi	
dáiddaduojár	dáiddaduojár	
duodjemárkan	duodjemárkan	
duktasadji	tomt	
bisánanbáiki	bisánanbáiki	
birasossodat	miljøavdeling	
Biertavárri	Birtavarre	
čáhcecrossa	čáhcecrossa	
áššáskuhttin	tiltale	
vuovdečuohppan	vuovdečuohppan	
stivrenorgána	styringsorgan	
ráđđečoahkkin	rådsmøte	
resolušuvdna	resolusjon	
poliklinihkka	poliklinikk	
ovddasmoraš	ovddasmoraš	
olgu	utendørs	
mátkegollu	reiseutgift	
magasiidna	magasin	
kártadoaimmahat	kartverk	
jahkodat	årstid	
dáiddasuorgi	dáiddasuorgi	
dovdát	dovdát	
bartaguovlu	hytteområde	
astoáiggedoaibma	hobby	
ávju	egg	
veasku	veske	
riekteáddejupmi	rettsforestilling	
permišuvdna	permisjon	
ohppiidráđđi	elevråd	
museasearvi	museasearvi	
muitát	komme_til_å_huske_på	
meroštallan	skjønn	
jávkkus	jávkkus	
johtalus	johtalus	
guovlluhoavda	guovlluhoavda	
gielddabargi	gielddabargi	
gaskkusteapmi	gaskkusteapmi	
eretfárren	fraflytting	
dálvegilvu	dálvegilvu	
boaresolmmoš	boaresolmmoš	
bearašolmmoš	bearašolmmoš	
Rávdojohka	Rávdojohka	
Muotkeduottar	Muotkeduottar	
šleđggon	refleksbrikke	
čeavllis	čeavllis	
vokalista	vokalista	
unjárgalaš	unjárgalaš	
sámeniibi	sámeniibi	
ruovttujoavku	hjemmelag	
rievideapmi	rievideapmi	
premieara	premieara	
oassevirgi	oassevirgi	
oaivečálus	lederartikkel	
nástegovva	stjernebilde	
molsašupmi	molsašupmi	
luossareiveeaiggát	laksebreveier	
kollega	kollega	
illubeaivi	illubeaivi	
hutkkus	påfunn	
huksenplána	huksenplána	
gurutravda	venstrekant	
gielladoaibma	språkaktivitet	
giehtatelefovdna	giehtatelefovdna	
geainnus	geainnus	
duorastateahket	duorastateahket	
doalloeaiggát	brukseier	
bávkkanas	dynamitt	
ábegáhttu	ape	
várddobáiki	várddobáiki	
váldočoahkkin	generalforsamling	
váldofáddá	hovedtema	
váhku	váhku	
unnoraš	unnoraš	
sávdnji	søm	
soabalašvuohta	fordragelighet	
ráhkkanus	konstruksjon	
opmodatvearru	formueskatt	
nuortaguovlu	nuortaguovlu	
njoarostangilvu	njoarostangilvu	
njealjádasfinála	kvartfinale	
momsa	momsa	
mearkalávdegoddi	mearkalávdegoddi	
meahcástansearvi	meahcástansearvi	
geahččalanprošeakta	prøveprosjekt	
fylkkalávdegoddi	fylkesutvalg	
fax	fax	
boazodoalloorohat	boazodoalloorohat	
biilaeaiggát	biilaeaiggát	
vuolláičálli	vuolláičálli	
rehketdoalli	rehketdoalli	
prentehus	trykking	
olgovuola	olgovuola	
oanehisfilbma	oanehisfilbma	
oahppomátki	studietur	
njealjehasmehter	kvadratmeter	
illusáhka	gladsak	
gávpečora	gávpečora	
govvateaksta	bildetekst	
golgolaš	omstreifer	
doaimmahushoavda	redaksjonssjef	
cd-skearru	cd-skearru	
bálvaluskantuvra	bálvaluskantuvra	
byrokráhta	byråkrat	
boraspireváttisvuohta	boraspireváttisvuohta	
bearráigeahččanlávdegoddi	bearráigeahččanlávdegoddi	
Sieiddájohka	Sieiddájohka	
Harri	Harri	
Fokus	Fokus	
pulja	pulje	
oiddot	oiddot	
musihkkagilvu	musihkkagilvu	
morála	moral	
mearraluossabivdu	mearraluossabivdu	
komitea	komitea	
gáddu	knehase	
gielddadoavttir	kommunelege	
ealáhushoavda	næringssjef	
duiskkagiella	tysk_språk	
duhátjahki	tusenår	
Solli	Solli	
Rávttošvuopmi	Rávttošvuopmi	
Rákkonjárga	Rákkonjárga	
Arvenjárga	Arvenjárga	
čakčaorohat	høstboplass	
vuođđofága	grunnfag	
vulkána	vulkána	
vielti	bakke	
vearrodirektoráhtta	skattedirektorat	
sámediggelistu	sametingsliste	
strategiijaplána	strategiijaplána	
skuvlamátki	skoletur	
sierravuodjinlohpi	sierravuodjinlohpi	
ráŋggáštusláhka	straffelov	
ovdaskuvla	førskole	
meteorologa	meteorologa	
luondduhálddašandirektoráhtta	luondduhálddašandirektoráhtta	
lassa	lassa	
kloáhkka	kloakk	
jeaggegeašáddjá	jeaggegeašáddjá	
idea	idé	
gealbu	gagn	
filbmagilli	filbmagilli	
fenomena	fenomena	
borra	borra	
boraspirelohku	boraspirelohku	
biebmoministtar	biebmoministtar	
Njárga	Njárga	
vázzinmátki	gåtur	
vuodna	vuodna	
terrorista	terrorist	
ságá	saga	
stiila	stil	
searvadahttindepartemeanta	searvadahttindepartemeanta	
nuoraidprográmma	ungdomsprogram	
lieggagráda	lieggagráda	
johtolatlihkohisvuohta	johtolatlihkohisvuohta	
guovžabivdu	guovžabivdu	
gearggusvuohta	beredskap	
dihtorprográmma	dataprogram	
bárku	bark	
bággodoaibma	tvangstiltak	
beaivečuovga	dagslys	
Rávttošnjárga	Rávttošnjárga	
Guovžajávri	Guovžajávri	
šiella	finnerlønn	
áittardeaddji	áittardeaddji	
Ákšovuotna	Øksfjord	
sámediggevisti	sámediggevisti	
sisagaikun	sisagaikun	
silbačikŋa	silbačikŋa	
rekláma	reklame	
párka	park	
plánalávdegoddi	planutvalg	
nuoski	urenslig	
muittuhus	påminning	
moallavejolašvuohta	målsjanse	
measttir	measttir	
mearkabeaivi	merkedag	
liigeruhta	tilleggspenger	
jođihangoddi	ledelse	
gáiddusoahpahus	gáiddusoahpahus	
gudnebálkkašupmi	gudnebálkkašupmi	
eananhálddašeapmi	eananhálddašeapmi	
ealáhusossodat	næringsavdeling	
divvunprográmma	divvunprográmma	
dearvvašvuođasuorgi	dearvvašvuođasuorgi	
boazodoallokantuvra	reindriftskontor	
bidju	bidju	
Visti	Visti	
čájáhuslatnja	čájáhuslatnja	
áhččerohkki	áhččerohkki	
váldoorganisašuvdna	váldoorganisašuvdna	
vuopmi	skogland	
stádaministtar	statsminister	
sivdnádus	skapning	
sente	centimeter	
reportár	reportár	
luonddufága	naturfag	
luohtehahttivuohta	luohtehahttivuohta	
lobálašvuohta	legitimitet	
kulturhoavda	kultursjef	
katekehta	kateket	
girdin	girdin	
fuolkevuohta	slektskap	
duodjemárkanat	duodjemárkanat	
dielku	flekk	
bušeahttaevttohus	budsjettforslag	
boastakantuvra	postkontor	
audition	audition	
amasgiella	fremmedspråk	
Stuorravuotna	Storfjorden	
rájus	rájus	
riddoguolástuslávdegoddi	riddoguolástuslávdegoddi	
márkanfievrrideapmi	márkanfievrrideapmi	
muitoboddu	minnestund	
luomejeaggi	moltemyr	
kriminálafuolahus	kriminálafuolahus	
juovlabeavdi	julebord	
hyhtta	hyhtta	
eamiluossa	eamiluossa	
detálja	detálja	
birasvisti	birasvisti	
Verddečiekčamat	Verddečiekčamat	
álbmotbellodat	folkeparti	
vázzinbálggis	vázzinbálggis	
vuovdedoallu	skogbruk	
suodjalanguovlu	suodjalanguovlu	
sešuvdna	sesjon	
revre	rør	
originála	original	
nuorttanáste	nuorttanáste	
katastrofa	katastrofe	
girkodulka	kirketolk	
gieldu	gieldu	
geaidnogalba	veiskilt	
fashion	fashion	
ekstrema	ekstrem	
eahpáraš	utburd	
dávgi	bue	
diakona	diakona	
aktivista	aktivista	
Rávdojávri	Rávdojávri	
Ruŋgu	Spansdalen	
čiekčanšillju	fotballbane	
vuostebiegga	vuostebiegga	
vearsa	vers	
tv-ráidu	tv-ráidu	
sátnegeavaheapmi	ordbruk	
sámediggeáigodat	sametingsperiode	
sáhcu	strek	
stuoraservodat	storsamfunn	
servodatdutki	servodatdutki	
seastinbáŋku	seastinbáŋku	
rievssatnálli	rievssatnálli	
reaisu	reise	
njunuščiekči	njunuščiekči	
kulturdoarjja	kulturstønad	
joganjálbmi	elvemunning	
heargegilvvohallan	heargegilvvohallan	
guollefanas	guollefanas	
bronsafinála	bronsafinála	
bargomárkan	arbeidsmarked	
čuojahanjoavku	čuojahanjoavku	
vuostemiella	motvilje	
vuolitdirektevra	vuolitdirektevra	
taktihkka	taktikk	
sámemeašttirgilvu	sámemeašttirgilvu	
spábbačiekčansearvi	fotballklubb	
spiidnedávda	spiidnedávda	
ruhtaskeaŋka	ruhtaskeaŋka	
riektevuogádat	rettssystem	
politiijameasttir	politiijameasttir	
panela	panel	
oktiičaskin	sammenslåing	
oktiigullevašvuohta	tilhørighet	
oamastus	eie	
máilmmiolahus	máilmmiolahus	
ministtarráđđi	ministerråd	
idjadansadji	overnattingssted	
geavat	geavat	
festiválabáiki	festiválabáiki	
duopmogirku	domkirke	
dispa	disp	
bivdosearvi	bivdosearvi	
beahcevuovdi	beahcevuovdi	
aláš	høyde	
ILO-soahpamuš	ILO-soahpamuš	
Gártnetluohkká	Gártnetluohkká	
Gállogieddi	Gállogieddi	
BU-ruhta	BU-ruhta	
viessohoaiddár	vaktmester	
sáttomeahcci	sáttomeahcci	
sođđi	sođđi	
soahpameahttunvuohta	uoverenstemmelse	
smávvadálolaš	smávvadálolaš	
searvegoddeviessu	searvegoddeviessu	
ruhtagáldu	finansieringskilde	
oktasašorohat	fellesbeite	
nissonfierpmádat	nissonfierpmádat	
mediaplána	medieplan	
mearradutkaninstituhtta	mearradutkaninstituhtta	
luondduhálddašeapmi	naturforvaltning	
lihter	liter	
gávpealmmái	gávpealmmái	
goahtesadji	goahtesadji	
dásseárvobálkkašupmi	likestillingspris	
doaris	tverr-	
crossbána	crossbána	
bivdinlohpi	bivdinlohpi	
bargovejolašvuohta	arbeidsmulighet	
Suoločielgi	Saariselkä	
Museum	Museum	
Bearralváhki	Bearralváhki	
ámmátskuvla	yrkesskole	
vuodjansearvi	vuodjansearvi	
viggamuš	forsøk	
skuvladilli	skuvladilli	
seremoniija	seremoni	
republihkka	republihkka	
rahpansárdni	åpningstale	
olmmošgoddi	olmmošgoddi	
olgolávdi	utescene	
noaidevuohta	sjamanisme	
molsašuddi	molsašuddi	
mielkeearri	mielkeearri	
geahččalanáigi	geahččalanáigi	
geahpedeapmi	geahpedeapmi	
fávru	skjønn	
fávru	vakker_person	
dálááigi	samtid	
dálkedieđáhus	dálkedieđáhus	
dáiddabargu	dáiddabargu	
dihtorčoavddus	dataløsning	
boazodoalloguovddáš	boazodoalloguovddáš	
bargoeaktu	arbeidsbetingelse	
badji	badji	
Bassi	Bassi	
šiehtadallanlávdegoddi	forhandlingsutvalg	
suohkanstivrračoahkkin	kommunestyremøte	
stáhtagirku	stáhtagirku	
stuorradiggepresideanta	stuorradiggepresideanta	
speallan	speallan	
siibma	fortom	
seakti	agn	
ránná	ránná	
referánsa	referanse	
prošeaktabargu	prosjektarbeid	
politiijainspektevra	politiijainspektevra	
poesiija	poesi	
party	party	
paradoksa	paradoksa	
ođđajagisárdni	ođđajagisárdni	
ollenge	ollenge	
nákkosgirji	doktoravhandling	
máŋggus	kopi	
mytologiija	mytologi	
láigoheaddji	láigoheaddji	
lodden	lodden	
lassidoarjja	tilleggstønad	
kilohaddi	kilohaddi	
jámet	lik	
johttičájáhus	johttičájáhus	
iđitborramuš	frokost	
háliidus	lengsel	
hálddahushoavda	hálddahushoavda	
gádjunhelikopter	gádjunhelikopter	
govdafierpmádat	bredbånd	
goddináitta	drapstrussel	
giellaovdáneapmi	språklig_utvikling	
geaidnobargu	geaidnobargu	
geahččalanortnet	geahččalanortnet	
ealáhusšiehtadus	ealáhusšiehtadus	
duođalašvuohta	alvorlighet	
deklarašuvdna	deklarasjon	
báktehárji	báktehárji	
bartahuksen	bartahuksen	
Skuvvanvárri	Skoganvarre	
SMS-diehtu	SMS-diehtu	
Olgoriikadepartemeanta	Olgoriikadepartemeanta	
čáhcedrag	čáhcedrag	
álgoálbmotguovddáš	urfolkssenter	
álbmotjienasteapmi	folkeavstemning	
Ákšomuotki	Ákšomuotki	
váldu	hoved-	
váldoovddasvástádus	váldoovddasvástádus	
vearroruhta	vearroruhta	
sámeoahpahus	sámeoahpahus	
stuorraservodat	storsamfunn	
ritma	rytme	
olmmoščearda	folkeslag	
oahpahusministtar	undervisningsminister	
oahpaheaddjivirgi	lærerstilling	
njuovvandilli	njuovvandilli	
mátkkoštanealáhus	mátkkoštanealáhus	
márkanšillju	torg	
luoddadoaimmahat	vegvesen	
liekkusvuohta	liekkusvuohta	
kulturmuitobeaivi	kulturmuitobeaivi	
inšenevra	ingeniør	
ilbmi	verden	
hávlár	hávlár	
gutnabáđoš	askeladd	
guossoheaddji	guossoheaddji	
girkokonsearta	girkokonsearta	
fylkkajuoigi	fylkkajuoigi	
ekspearta	ekspearta	
dákteriggi	skjelett	
doavtterdilli	doavtterdilli	
beaiveearri	beaiveearri	
VM-kroa	VM-kroa	
Geavŋŋis	Geavŋŋis	
čievra	grus	
vuođđudančoahkkin	stiftelsesmøte	
veaiki	kobber	
veahkkeorganisašuvdna	hjelpeorganisasjon	
tsunámi	tsunámi	
sámiguovlu	sámiguovlu	
siskkildas	siskkildas	
seksualitehta	seksualitet	
ráđđehusbellodat	regjeringsparti	
riita	riita	
oahpahusgiella	oahpahusgiella	
nominašuvdnačoahkkin	nominasjonsmøte	
njuovvandeaddu	slaktevekt	
njealječiegat	firkant	
neahttaaviisa	neahttaaviisa	
juovlabeahci	julefuru	
joavkočoahkkin	gruppemøte	
jietnagovva	lydbilde	
hálddahusriekti	hálddahusriekti	
hálddahusbargi	hálddahusbargi	
guovddášdoaimmahat	guovddášdoaimmahat	
guolbba	slette	
gulaskuddanáigi	gulaskuddanáigi	
govdabáddi	govdabáddi	
girkostallan	girkostallan	
giellakonsuleanta	språkkonsulent	
dáiddaoahppu	kunstutdanning	
dutkanguovddáš	forskningssenter	
duolvačáhci	avløpsvann	
duolva	smuss	
dearvvašvuođadirektoráhtta	dearvvašvuođadirektoráhtta	
buhtadusgáibádus	buhtadusgáibádus	
boraspirepolitihkka	boraspirepolitihkka	
bivdoskibir	bivdoskibir	
bismá	bismá	
badjenisu	reindriftssame	
alternatiiva	alternativ	
adjágas	adjágas	
Savu	Savu	
čáhcealmmái	vannmannen	
čuoivvat	gulgrå_rein	
čoavdin	čoavdin	
čoavddasátni	nøkkelord	
álgoálbmotbeaivi	urbefolkningsdag	
álbmotdearvvašvuohta	álbmotdearvvašvuohta	
váldoágga	hovedargument	
turismaealáhus	turistnæring	
stivramiellahttu	stivramiellahttu	
ruhtalátna	pengestabel	
ovddádusbellodat	ovddádusbellodat	
oasuskapitála	oasuskapitála	
oassefinála	oassefinála	
oaggunstággu	oaggunstággu	
njuoratmánná	spebarn	
neahpi	onkelbarn	
luonddubearráigeahčči	luonddubearráigeahčči	
jorgalanbargu	oversettelsesarbeid	
iešluohttámuš	selvtillit	
heargeeaiggát	heargeeaiggát	
goarádus	vanskjebne	
girjeráidu	bokserie	
girjebeaivi	girjebeaivi	
girdingieddi	girdingieddi	
fylkkadiggeáirras	fylkestingsrepresentant	
eamiálbmotforum	eamiálbmotforum	
ealáskahttin	ealáskahttin	
drošševuoddji	drošševuoddji	
birasguovddáš	birasguovddáš	
biilaboagán	bilbelte	
bargobearráigeahčču	bargobearráigeahčču	
Filbmagoahti	Filbmagoahti	
Davvenjárga	Davvenjárga	
Áidejávri	Áidejávri	
suohkanstivraáirras	suohkanstivraáirras	
soađis	flis	
sierralohpelávdegoddi	sierralohpelávdegoddi	
rádjeofelaš	grenselos	
revyjoavku	revyjoavku	
resursaguovddáš	ressurssenter	
rahpandilálašvuohta	rahpandilálašvuohta	
nuortasápmelaš	østsame	
mánáidkoarra	mánáidkoarra	
musihkkabálkkašupmi	musikkpris	
mannu	forbruk	
luosjuolgi	luosjuolgi	
lobihisvuohta	lobihisvuohta	
kulturruhta	kulturpenger	
guhkesáigi	guhkesáigi	
elfápmu	elfápmu	
eanandoarggástus	eanandoarggástus	
divššár	divššár	
báikkiolmmoš	báikkiolmmoš	
báhcu	báhcu	
bearráigeahččan	bearráigeahččan	
Sáminuorra	Sáminuorra	
Riddobellodat	Riddobellodat	
Orda	Orda	
čuovggas	čuovggas	
čalmmusteapmi	čalmmusteapmi	
váffel	vaffel	
vuovdečuollan	vuovdečuollan	
vearroeiseváldi	vearroeiseváldi	
veahkkebargi	veahkkebargi	
sirbmálaš	sirbmálaš	
ruovtturiika	hjemland	
rehketbihttá	regnestykke	
rasista	rasista	
portreahtta	portrett	
olgoáibmu	uteluft	
olbmáš	lien_mann	
oanehisáigi	oanehisáigi	
oahpahusdepartemeanta	utdanningsdepartement	
niehkostipeanda	niehkostipeanda	
nammačoaggin	nammačoaggin	
moallu	smule	
kommunikašuvdna	kommunikasjon	
hávdeeana	hávdeeana	
gáhppálat	stykke	
giellahálddašanguovlu	språkforvaltningsområde	
crossa	crossa	
Roavesavu	Roavesavu	
Johka	Bergsfjord	
áhpu	nytte	
valáštallanstipeanda	valáštallanstipeanda	
tabu	tabu	
suodjalusčiekči	suodjalusčiekči	
ruhtaohcan	pengesøknad	
ruhtadoalli	ruhtadoalli	
rituála	rituale	
rapporta	rapporta	
promilla	promilla	
multidáiddár	multidáiddár	
meahcástallan	utmarksnæring	
kulturprográmma	kulturprográmma	
kulturmuitoráđđi	kulturminneråd	
kulturkantuvra	kulturkontor	
konserváhtor	konservator	
jaskesvuohta	jaskesvuohta	
gilvvagárdi	hage	
geažotbeallji	umerket_rein	
gaskašillju	gaskašillju	
energiijadirektoráhtta	energiijadirektoráhtta	
ecstasy	ecstasy	
dutkanbeaivi	dutkanbeaivi	
dieđavisti	dieđavisti	
boranávdevahát	rovdyrskade	
bieggapárka	bieggapárka	
astoáiggefálaldat	fritidstilbud	
Tundra	Tundra	
čáhcebohcci	vannrør	
šearbma	šearbma	
válljejupmi	válljejupmi	
váldobáiki	váldobáiki	
vuoiggalašvuohta	vuoiggalašvuohta	
vihki	feil	
viessobáŋku	husbank	
teáhtervisti	teáhtervisti	
sámegákti	sámegákti	
suođđan	suođđan	
speallanautomáhtta	spilleautomat	
romsalaš	romsalaš	
prorektor	prorektor	
ovdánahttinfitnodat	utviklingsselskap	
ovdasiidu	ovdasiidu	
oahppoguovddáš	oahppoguovddáš	
neavvu	verktøy	
máinnašuvvon	máinnašuvvon	
mikrofuvdna	mikrofon	
miehtebiegga	medvind	
kulturfestivála	kulturfestivála	
instrumeanta	instrumeanta	
idjarávga	natterangler	
gálvojohtu	gálvojohtu	
guottetbáiki	guottetbáiki	
filbmanásti	filmstjerne	
filbmabargu	filbmabargu	
elliidgárdi	elliidgárdi	
dáiddaallaskuvla	kunsthøgskole	
campingvovdna	campingvovdna	
beassášvahkku	beassášvahkku	
čáhcevuoigatvuohta	vannrettighet	
váldogeaidnu	hovedvei	
vuostáiváldi	vuostáiváldi	
vaksiidna	vaksiidna	
ulbmilaš	strategisk	
spesialista	spesialista	
singel	singel	
sabmi	sabmi	
ruhtavátnivuohta	pengemangel	
ruhtafápmu	ruhtafápmu	
rahpanbeaivi	rahpanbeaivi	
oktasašlistu	oktasašlistu	
oahpponeavvodilli	oahpponeavvodilli	
oahpponeavvobuvttadeapmi	oahpponeavvobuvttadeapmi	
mátkedihtor	bærbar_datamaskin	
muitosátni	muitosátni	
maila	e-post	
láhkačeahppi	jurist	
leanaráđđehus	leanaráđđehus	
kaleandar	kaleandar	
jeageleana	jeageleana	
idjadanbáiki	idjadanbáiki	
gáibideaddji	gáibideaddji	
gymnása	gymnása	
girkohearrá	girkohearrá	
gilvvohalli	gilvvohalli	
fakultehta	fakultehta	
etnomusihkkaguovddáš	etnomusihkkaguovddáš	
dánsunjoavku	dánsunjoavku	
dovdan	sansing	
dearvvašvuođaministtar	helseminister	
dearvvašvuođabearráigeahčču	helsetilsyn	
blues	blues	
basseaŋga	basseng	
bargovásáhus	arbeidserfaring	
Nuortariika	Østerrike	
válgga	valg	
váldodoaibma	hovedbeskjeftigelse	
vuollebáza	underskudd	
vuoigatvuođalaš	rettighetshaver	
sámevuoigatvuohta	sámevuoigatvuohta	
suohkanbargi	suohkanbargi	
stipendiáhtta	stipendiáhtta	
sosionoma	sosionom	
sohkagirji	sohkagirji	
sisaoastinortnet	sisaoastinortnet	
salaris	salaris	
prinsa	prins	
oasseáigi	oasseáigi	
oahppočuokkis	studiepoeng	
nuoraidbargi	nuoraidbargi	
mánáidgárdebargi	mánáidgárdebargi	
mánnálaš	barnslig	
minerálaohcan	minerálaohcan	
mineráladoaibma	mineráladoaibma	
menestus	suksess	
lávlunkoarra	lávlunkoarra	
lihkkoluossa	lihkkoluossa	
legitimitehta	legitimitet	
lahttuvuohta	lahttuvuohta	
kámpa	kámpa	
jahkedoaibma	jahkedoaibma	
ipmilsátni	gudsord	
idéa	idéa	
hip-hop	hip-hop	
guorahallanguovddáš	guorahallanguovddáš	
grafihkka	grafikk	
gore	kurv	
girječállin	girječállin	
garáša	garáša	
doapma	doapma	
buletiija	politi	
bargokantuvra	arbeidskontor	
bargoguoibmi	bargoguoibmi	
akšunista	akšunista	
aktivitehta	aktivitet	
Sápmelaš-bláđđi	Sápmelaš-bláđđi	
Rádjá	Rádjá	
Roavesavvon	Roavesavvon	
Gieldadepartemeanta	Gieldadepartemeanta	
Beaivvášgieddi	Beaivvášgieddi	
várreságadoalli	várreságadoalli	
teakstadiehtu	teakstadiehtu	
streaika	streik	
spábbačiekčanbiire	spábbačiekčanbiire	
sosiálakantuvra	sosialkontor	
skuvlastivra	skolestyre	
rubel	rubel	
ođđalágan	ođđalágan	
oaggunkoarta	oaggunkoarta	
náittosbeaivi	náittosbeaivi	
mánáidfestivála	barnefestival	
muitobázzi	muitobázzi	
miessemearkun	reinkalvmerking	
majestehta	majestehta	
luisten	skøyting	
lihkkoguolli	lihkkoguolli	
lagašvuohta	lagašvuohta	
kulturhistorjá	kulturhistorie	
juoiggus	juoiggus	
johttipokála	johttipokála	
heargevuodjingilvu	heargevuodjingilvu	
gitarista	gitarist	
giellabálkkašupmi	giellabálkkašupmi	
fylkkasearvi	fylkkasearvi	
ealáhusovddideapmi	ealáhusovddideapmi	
doarjjaohcan	søknad_om_støtte	
diida	overtro	
dieđihanáigi	dieđihanáigi	
buohccibiila	ambulanse	
boazolohkan	boazolohkan	
TV-kanála	TV-kanála	
